id_estudiante,fecha_consulta,derivado,tipo_consulta,urgencia,tiempo_consulta,tiempo_espera,id_asesor,calidad_del_servicio,consulta_resuelta,puntaje_esfuerzo_cliente,indice_promotor_neto,satisfaccion_estudiante
E00053,2023-11-03,True,Información general,Media,564,5,A278,3,True,2,67,4
E00054,2024-11-02,False,Información general,Media,568,5,A144,1,True,1,81,4
E00055,2023-05-11,True,Consulta de matrícula,Baja,1116,328,A498,3,True,3,40,3
E00056,2023-09-19,False,Consulta de trámites,Baja,1646,842,A310,2,False,1,66,3
E00057,2024-02-18,False,Consulta de trámites,Media,984,369,A049,1,True,4,54,2
E00058,2024-07-31,True,Queja,Media,571,5,A125,3,True,1,107,5
E00059,2024-09-05,True,Solicitud de documentos,Baja,896,647,A148,1,True,3,46,3
E00060,2023-12-07,True,Queja,Baja,1421,1103,A295,1,False,3,47,2
E00061,2024-12-03,True,Consulta de matrícula,Baja,1545,749,A270,3,True,4,41,3
E00062,2023-08-17,True,Queja,Media,1125,173,A396,3,False,2,71,4
E00063,2024-10-23,True,Consulta de matrícula,Media,1258,70,A167,2,True,5,42,3
E00064,2024-05-15,True,Consulta de trámites,Baja,1391,284,A253,3,False,2,49,3
E00065,2024-08-18,True,Consulta de trámites,Media,1040,521,A449,3,True,5,42,3
E00066,2024-08-29,False,Queja,Media,1387,911,A174,3,True,4,73,3
E00067,2023-08-04,False,Queja,Baja,852,5,A190,1,True,4,21,2
E00068,2023-07-24,True,Consulta de matrícula,Media,1435,751,A212,2,True,4,59,2
E00069,2024-08-07,False,Consulta de matrícula,Media,1611,854,A403,1,True,3,29,2
E00070,2024-12-03,False,Queja,Media,984,828,A415,3,True,2,66,3
E00071,2023-09-05,False,Solicitud de documentos,Media,1080,472,A484,2,True,5,53,2
E00072,2023-01-12,False,Solicitud de documentos,Media,965,740,A444,3,True,2,84,4
E00073,2023-08-23,True,Consulta de trámites,Media,1572,1128,A491,1,True,5,21,1
E00074,2023-10-29,False,Consulta de matrícula,Media,1643,807,A006,1,True,1,47,3
E00075,2023-06-12,True,Consulta de trámites,Media,1203,547,A219,3,True,2,89,4
E00076,2024-09-14,False,Información general,Media,1033,893,A266,2,True,1,109,5
E00077,2024-10-17,False,Consulta de matrícula,Alta,1902,1676,A416,1,True,4,38,2
E00078,2024-01-24,False,Información general,Baja,1160,417,A145,3,True,3,67,4
E00079,2023-07-23,True,Consulta de matrícula,Alta,1151,785,A253,3,True,3,45,3
E00080,2023-07-11,False,Consulta de trámites,Alta,1340,974,A498,3,True,2,90,4
E00081,2023-06-12,True,Solicitud de documentos,Media,225,134,A172,2,False,1,79,3
E00082,2024-10-31,False,Consulta de trámites,Alta,1226,28,A125,3,True,1,92,4
E00083,2024-07-11,True,Queja,Media,1039,585,A315,3,True,5,47,3
E00084,2024-01-13,False,Consulta de trámites,Media,1436,1108,A356,1,True,2,49,3
E00085,2023-02-01,True,Información general,Media,1013,729,A158,3,True,2,92,4
E00086,2023-08-18,True,Solicitud de documentos,Media,1387,786,A494,2,False,1,53,3
E00087,2024-07-11,False,Consulta de trámites,Baja,923,685,A053,3,True,1,79,3
E00088,2024-09-23,True,Información general,Media,1269,227,A348,2,True,3,59,3
E00089,2023-07-29,False,Solicitud de documentos,Media,1154,541,A159,3,False,2,95,4
E00090,2023-04-25,False,Consulta de trámites,Baja,1216,392,A164,3,True,3,63,3
E00091,2023-08-30,False,Información general,Alta,935,691,A409,3,True,4,41,3
E00092,2023-04-30,False,Consulta de matrícula,Media,1565,395,A314,2,False,4,10,1
E00093,2024-11-06,False,Solicitud de documentos,Alta,1672,1238,A005,1,True,1,56,3
E00094,2024-04-19,False,Información general,Media,890,240,A030,2,True,5,34,2
E00095,2024-07-16,False,Queja,Baja,597,5,A020,1,True,1,58,3
E00096,2023-05-14,False,Información general,Media,1202,840,A215,2,True,2,32,2
E00097,2023-01-06,False,Consulta de trámites,Media,1354,619,A026,3,False,1,43,3
E00098,2024-01-22,False,Consulta de matrícula,Media,741,566,A182,3,True,3,64,4
E00099,2024-04-04,False,Solicitud de documentos,Alta,1179,245,A195,1,True,1,66,3
E00100,2024-10-19,True,Queja,Baja,1256,223,A036,1,True,3,40,3
E00101,2024-05-03,True,Consulta de trámites,Media,821,5,A415,2,True,4,68,3
E00102,2024-02-20,False,Consulta de trámites,Baja,1423,370,A012,2,False,3,48,2
E00103,2024-12-14,False,Información general,Baja,1266,109,A269,1,True,2,41,3
E00104,2023-03-27,False,Queja,Media,766,5,A354,1,True,1,79,4
E00105,2024-06-22,False,Información general,Media,993,233,A312,2,True,2,96,4
E00106,2024-08-12,False,Queja,Baja,1458,676,A073,1,True,3,37,2
E00107,2023-01-14,False,Consulta de matrícula,Media,1183,965,A149,1,False,3,64,3
E00108,2023-10-09,False,Solicitud de documentos,Alta,730,5,A075,1,True,3,47,3
E00109,2024-06-24,False,Consulta de matrícula,Media,1491,1087,A342,1,True,3,31,2
E00110,2024-12-05,True,Información general,Alta,1199,344,A390,3,True,3,75,4
E00111,2023-11-24,False,Queja,Media,1452,1154,A055,3,False,1,87,4
E00112,2024-03-09,True,Consulta de trámites,Media,1675,745,A049,1,True,5,21,2
E00113,2024-06-24,False,Solicitud de documentos,Baja,892,675,A496,2,True,2,66,4
E00114,2024-07-17,False,Consulta de matrícula,Baja,884,5,A286,3,True,4,66,3
E00115,2023-10-23,True,Solicitud de documentos,Media,1046,811,A382,2,True,4,52,3
E00116,2023-11-28,False,Solicitud de documentos,Alta,1253,389,A023,2,False,2,46,2
E00117,2023-01-25,True,Consulta de trámites,Baja,661,72,A486,3,True,1,108,5
E00118,2023-12-23,False,Información general,Alta,648,193,A002,2,False,2,88,4
E00119,2023-03-20,False,Solicitud de documentos,Media,1614,1437,A346,2,True,3,39,2
E00120,2023-08-07,True,Consulta de trámites,Media,1480,379,A383,1,True,5,12,1
E00121,2024-08-15,False,Consulta de trámites,Baja,1294,467,A367,1,False,2,51,2
E00122,2023-09-12,True,Información general,Baja,987,541,A430,1,True,1,79,3
E00123,2024-08-05,False,Información general,Alta,1242,116,A475,3,True,3,90,4
E00124,2023-07-26,True,Queja,Alta,1450,900,A233,1,True,2,50,3
E00125,2023-12-07,True,Solicitud de documentos,Media,1603,1044,A305,2,False,2,76,3
E00126,2023-07-27,False,Consulta de matrícula,Media,1253,178,A467,2,True,3,50,3
E00127,2024-01-20,False,Consulta de matrícula,Baja,274,5,A280,2,True,1,68,4
E00128,2024-08-01,True,Solicitud de documentos,Media,1373,1077,A041,2,True,5,59,2
E00129,2024-08-03,False,Información general,Baja,1251,886,A262,2,True,5,56,2
E00130,2023-07-17,False,Consulta de matrícula,Media,893,5,A204,3,True,3,81,4
E00131,2023-10-23,False,Consulta de matrícula,Baja,1955,1864,A059,2,True,4,41,2
E00132,2024-09-15,True,Información general,Media,1313,475,A138,3,False,1,76,4
E00133,2024-11-18,True,Información general,Media,1058,5,A171,2,True,4,53,3
E00134,2024-11-29,True,Información general,Media,1697,574,A137,3,True,4,50,3
E00135,2024-02-25,True,Solicitud de documentos,Alta,1346,391,A177,3,False,4,44,2
E00136,2024-08-08,True,Queja,Media,402,5,A085,2,True,1,99,4
E00137,2023-01-22,True,Consulta de matrícula,Media,1003,898,A282,2,True,4,44,2
E00138,2024-10-31,True,Solicitud de documentos,Media,851,804,A188,2,True,3,42,3
E00139,2024-08-09,True,Consulta de matrícula,Baja,1031,304,A043,2,True,2,71,4
E00140,2024-09-30,True,Solicitud de documentos,Media,434,77,A104,1,True,3,40,3
E00141,2023-06-07,False,Consulta de matrícula,Media,1286,846,A064,1,True,2,22,2
E00142,2024-02-23,True,Queja,Media,842,217,A132,3,True,5,63,3
E00143,2024-09-29,False,Consulta de trámites,Baja,1210,1047,A238,3,False,4,60,3
E00144,2024-08-13,False,Solicitud de documentos,Media,1566,1445,A336,1,True,5,38,1
E00145,2024-01-29,False,Información general,Media,941,367,A197,3,True,5,41,3
E00146,2023-03-11,True,Consulta de trámites,Media,226,5,A168,2,True,1,99,5
E00147,2024-10-22,True,Queja,Baja,979,912,A445,3,True,4,75,3
E00148,2024-10-06,True,Solicitud de documentos,Media,1551,1021,A034,3,True,5,44,2
E00149,2024-07-24,True,Consulta de trámites,Baja,1411,316,A237,3,True,2,72,4
E00150,2023-06-11,False,Consulta de trámites,Alta,1188,667,A037,1,True,2,48,3
E00151,2023-03-28,True,Consulta de matrícula,Media,1458,659,A218,1,True,1,41,3
E00152,2024-08-11,True,Solicitud de documentos,Baja,1811,1551,A407,3,True,5,28,2
E00153,2024-09-15,True,Información general,Media,1416,639,A394,2,True,5,27,2
E00154,2023-09-09,True,Consulta de trámites,Baja,1429,990,A447,3,True,5,98,4
E00155,2024-02-11,True,Información general,Baja,1490,946,A414,1,True,1,57,3
E00156,2024-10-12,False,Consulta de matrícula,Media,1543,500,A378,2,False,4,48,2
E00157,2024-11-12,True,Información general,Alta,2039,1331,A005,3,False,5,21,2
E00158,2024-12-25,False,Consulta de matrícula,Media,1730,1414,A437,1,True,5,30,2
E00159,2023-01-03,True,Consulta de matrícula,Baja,1394,436,A240,2,True,3,40,3
E00160,2024-07-07,False,Consulta de trámites,Media,1055,5,A470,3,True,2,66,4
E00161,2023-02-03,True,Solicitud de documentos,Media,1137,83,A353,1,True,4,53,2
E00162,2024-03-09,True,Queja,Baja,1371,484,A009,2,True,4,23,2
E00163,2024-11-06,False,Información general,Media,1212,872,A122,3,True,4,65,3
E00164,2024-04-19,False,Solicitud de documentos,Baja,962,5,A001,2,True,5,42,3
E00165,2024-11-14,False,Información general,Alta,1096,596,A182,2,True,3,65,3
E00166,2024-08-10,True,Información general,Media,1352,1319,A161,2,True,4,57,3
E00167,2024-07-04,False,Consulta de trámites,Media,1414,712,A031,1,False,1,50,3
E00168,2024-07-19,True,Consulta de matrícula,Media,676,589,A138,3,True,1,111,5
E00169,2024-08-06,True,Solicitud de documentos,Media,720,624,A111,2,True,2,79,4
E00170,2023-12-11,False,Consulta de trámites,Media,1125,932,A273,2,True,3,67,4
E00171,2024-08-22,False,Consulta de trámites,Media,1464,796,A123,2,False,4,59,3
E00172,2023-02-12,True,Solicitud de documentos,Alta,771,624,A023,1,True,3,65,3
E00173,2023-04-06,True,Información general,Baja,1043,231,A496,2,True,1,63,4
E00174,2024-06-03,False,Consulta de matrícula,Media,1291,756,A337,1,True,4,24,2
E00175,2023-02-23,False,Consulta de trámites,Media,1726,1010,A300,1,True,5,56,2
E00176,2024-04-15,False,Consulta de trámites,Media,2408,1398,A015,2,False,1,77,4
E00177,2023-06-15,True,Consulta de matrícula,Baja,656,5,A480,2,True,2,58,3
E00178,2023-04-04,True,Queja,Media,1865,1623,A237,1,False,4,42,2
E00179,2024-09-10,True,Consulta de trámites,Media,906,5,A050,1,True,2,51,3
E00180,2024-02-14,True,Consulta de trámites,Alta,1353,409,A358,2,True,3,77,4
E00181,2024-02-01,True,Solicitud de documentos,Media,1462,751,A392,1,True,2,22,2
E00182,2023-01-03,True,Consulta de trámites,Alta,1436,686,A046,1,False,2,49,2
E00183,2024-04-04,False,Consulta de trámites,Baja,1353,788,A048,2,True,5,58,2
E00184,2023-03-23,True,Consulta de matrícula,Media,882,89,A347,2,True,2,50,3
E00185,2023-12-20,True,Solicitud de documentos,Media,1187,1116,A221,3,True,5,45,3
E00186,2023-09-23,True,Consulta de matrícula,Media,895,479,A394,2,True,2,69,4
E00187,2023-12-12,False,Consulta de matrícula,Media,1702,1418,A135,2,True,5,45,3
E00188,2024-10-27,True,Consulta de trámites,Media,1060,832,A496,2,True,1,72,3
E00189,2024-12-14,True,Consulta de matrícula,Alta,1645,1131,A218,3,True,5,44,2
E00190,2024-10-29,False,Queja,Baja,907,692,A409,1,True,1,75,4
E00191,2024-02-05,True,Información general,Alta,1136,294,A447,2,True,1,102,5
E00192,2024-01-24,True,Queja,Baja,752,5,A135,2,True,4,48,2
E00193,2024-09-24,True,Solicitud de documentos,Alta,794,187,A166,3,True,1,70,4
E00194,2023-02-22,True,Información general,Media,856,511,A095,3,True,4,70,4
E00195,2024-03-14,True,Consulta de trámites,Alta,1125,277,A251,3,False,5,20,2
E00196,2023-08-27,False,Consulta de matrícula,Media,1747,1648,A427,1,True,3,79,3
E00197,2023-09-06,False,Solicitud de documentos,Alta,1435,481,A335,3,True,4,74,4
E00198,2023-09-07,False,Consulta de matrícula,Media,1670,751,A231,1,False,3,56,3
E00199,2023-05-26,True,Solicitud de documentos,Baja,823,352,A398,2,True,5,31,2
E00200,2024-10-13,True,Consulta de matrícula,Baja,1168,5,A294,2,True,4,48,3
E00201,2023-04-06,True,Consulta de matrícula,Media,1243,553,A191,2,True,5,53,2
E00202,2023-11-08,False,Solicitud de documentos,Baja,1050,999,A289,3,True,3,70,3
E00203,2023-07-14,True,Solicitud de documentos,Alta,1045,259,A463,2,False,5,21,1
E00204,2023-12-21,True,Información general,Media,1301,969,A088,3,True,3,61,3
E00205,2024-09-04,False,Consulta de trámites,Media,1417,727,A387,1,True,1,89,4
E00206,2024-01-29,True,Información general,Baja,1483,400,A042,2,False,3,49,2
E00207,2024-01-17,False,Consulta de trámites,Media,186,5,A123,1,True,3,46,3
E00208,2024-08-16,False,Queja,Media,1006,409,A310,3,True,1,77,4
E00209,2024-01-27,False,Información general,Alta,1158,626,A239,3,True,4,68,3
E00210,2023-02-19,True,Información general,Media,1151,132,A270,2,True,2,83,4
E00211,2023-10-12,True,Consulta de matrícula,Alta,1346,150,A224,2,True,4,51,3
E00212,2023-07-22,True,Información general,Media,785,203,A475,3,True,2,45,3
E00213,2024-06-03,True,Consulta de matrícula,Media,917,5,A244,2,True,1,77,4
E00214,2023-07-19,True,Consulta de trámites,Baja,1759,1580,A416,2,True,4,22,2
E00215,2023-03-23,True,Información general,Baja,1191,372,A224,1,True,5,32,2
E00216,2023-08-23,True,Consulta de trámites,Media,1380,681,A175,3,False,5,24,2
E00217,2023-10-29,False,Información general,Baja,1956,1065,A235,1,True,4,32,1
E00218,2024-09-17,True,Consulta de trámites,Media,1446,603,A306,2,True,5,59,3
E00219,2024-11-29,False,Información general,Baja,1351,1202,A459,1,True,1,78,4
E00220,2023-04-28,True,Queja,Alta,1229,732,A330,3,True,5,55,3
E00221,2024-12-21,True,Consulta de matrícula,Media,1597,526,A448,1,True,5,37,2
E00222,2024-08-18,True,Queja,Media,1692,966,A167,1,False,2,52,2
E00223,2024-11-19,False,Consulta de matrícula,Media,1542,454,A006,2,True,2,55,2
E00224,2024-08-24,False,Información general,Alta,816,5,A319,3,True,3,69,4
E00225,2023-03-22,False,Información general,Alta,884,60,A435,2,True,1,65,4
E00226,2023-05-16,False,Información general,Baja,1560,953,A427,2,True,5,78,3
E00227,2024-10-04,True,Solicitud de documentos,Baja,1172,510,A153,3,True,1,110,5
E00228,2023-12-27,False,Solicitud de documentos,Media,844,330,A258,1,True,1,81,4
E00229,2023-12-03,True,Información general,Media,1250,642,A258,2,True,2,74,4
E00230,2024-11-20,True,Consulta de trámites,Media,1495,1200,A164,1,True,5,29,2
E00231,2023-05-19,False,Consulta de matrícula,Media,832,447,A154,3,True,3,42,3
E00232,2024-10-17,False,Consulta de matrícula,Media,1435,1215,A051,2,True,4,48,3
E00233,2024-06-06,False,Queja,Media,974,406,A287,1,False,3,40,2
E00234,2024-03-29,False,Solicitud de documentos,Media,774,413,A244,1,False,2,42,3
E00235,2024-06-07,False,Consulta de matrícula,Alta,986,326,A370,2,True,3,58,3
E00236,2023-02-17,False,Queja,Baja,832,21,A165,3,True,2,61,4
E00237,2024-03-12,False,Solicitud de documentos,Media,1171,385,A489,1,True,2,47,2
E00238,2024-08-05,False,Queja,Media,1011,645,A193,3,False,1,97,4
E00239,2023-12-07,True,Información general,Baja,905,664,A360,2,False,5,1,1
E00240,2023-02-03,False,Consulta de matrícula,Alta,1036,5,A230,1,False,4,25,2
E00241,2023-10-06,False,Información general,Alta,860,5,A118,1,True,2,93,4
E00242,2023-01-11,True,Queja,Media,1130,147,A380,1,True,2,54,3
E00243,2023-12-10,False,Consulta de trámites,Media,1124,890,A136,3,True,1,119,5
E00244,2024-12-22,True,Consulta de matrícula,Alta,1898,1402,A277,1,True,4,51,2
E00245,2023-07-30,True,Información general,Alta,1266,1054,A269,1,True,2,75,3
E00246,2024-08-30,False,Consulta de matrícula,Baja,1903,1805,A089,2,True,5,28,2
E00247,2023-02-14,True,Queja,Baja,909,860,A471,1,True,5,30,2
E00248,2023-12-04,True,Queja,Baja,1020,792,A262,3,True,1,94,4
E00249,2023-09-04,True,Información general,Media,1247,1089,A364,2,True,2,83,4
E00250,2023-06-02,True,Solicitud de documentos,Baja,900,10,A285,2,False,4,13,1
E00251,2024-08-12,False,Solicitud de documentos,Media,1061,695,A327,1,True,1,81,4
E00252,2023-10-06,True,Solicitud de documentos,Media,871,339,A191,2,False,1,82,4
E00253,2023-11-18,False,Consulta de trámites,Alta,1751,1475,A260,1,False,3,16,1
E00254,2023-04-25,True,Consulta de trámites,Baja,1153,134,A222,2,True,1,90,4
E00255,2023-03-22,True,Consulta de trámites,Media,853,169,A089,3,True,3,99,4
E00256,2023-03-11,True,Consulta de matrícula,Baja,915,349,A492,1,True,3,44,3
E00257,2024-06-20,True,Solicitud de documentos,Baja,1067,42,A185,3,True,2,68,4
E00258,2023-07-23,False,Consulta de trámites,Baja,1396,781,A420,1,True,5,9,1
E00259,2024-03-02,False,Solicitud de documentos,Baja,1748,787,A139,3,False,4,79,3
E00260,2023-09-23,True,Información general,Baja,803,627,A410,3,True,1,62,4
E00261,2024-01-26,True,Consulta de trámites,Media,1107,773,A334,2,True,2,61,3
E00262,2024-09-19,False,Consulta de trámites,Baja,1546,1307,A264,1,False,4,1,1
E00263,2024-03-30,True,Solicitud de documentos,Alta,1146,911,A063,2,True,1,89,4
E00264,2024-06-12,True,Consulta de matrícula,Baja,1571,475,A120,3,True,5,56,2
E00265,2024-10-29,True,Consulta de trámites,Alta,1909,822,A102,1,True,5,33,1
E00266,2023-08-25,False,Información general,Baja,769,685,A005,3,True,3,98,5
E00267,2024-08-17,False,Información general,Media,1018,399,A476,3,True,3,44,3
E00268,2023-02-10,False,Información general,Media,822,519,A418,3,True,4,58,3
E00269,2023-04-06,True,Solicitud de documentos,Media,917,270,A452,3,True,1,74,4
E00270,2024-05-19,True,Consulta de matrícula,Media,1148,562,A428,2,True,3,78,3
E00271,2023-01-23,False,Información general,Baja,1313,320,A173,3,True,2,88,4
E00272,2023-05-08,False,Información general,Media,1722,581,A074,2,True,3,51,3
E00273,2024-12-06,False,Consulta de matrícula,Media,1533,490,A221,3,True,4,68,3
E00274,2023-03-06,False,Consulta de trámites,Media,1348,157,A280,1,True,2,57,2
E00275,2023-07-08,True,Consulta de trámites,Media,497,5,A026,3,True,5,27,2
E00276,2023-07-12,False,Solicitud de documentos,Media,884,403,A038,3,True,2,81,4
E00277,2024-08-14,True,Consulta de trámites,Baja,1353,265,A069,1,True,4,49,2
E00278,2024-07-20,False,Solicitud de documentos,Media,1618,1449,A199,1,True,5,1,1
E00279,2024-07-31,True,Solicitud de documentos,Media,1235,510,A057,3,False,1,88,4
E00280,2024-10-09,False,Queja,Media,1043,5,A320,3,True,4,59,3
E00281,2024-01-07,False,Consulta de trámites,Alta,1059,378,A301,2,True,3,64,4
E00282,2024-08-08,False,Información general,Media,1331,473,A400,1,True,4,33,2
E00283,2024-02-10,False,Queja,Baja,1753,558,A043,1,False,4,27,2
E00284,2024-11-13,True,Consulta de matrícula,Media,1357,1184,A113,2,True,4,62,3
E00285,2023-05-18,False,Consulta de trámites,Baja,1266,864,A333,3,True,5,51,3
E00286,2024-12-16,True,Consulta de matrícula,Media,1064,5,A039,3,True,4,69,3
E00287,2023-06-02,True,Información general,Alta,1171,661,A265,1,True,1,53,3
E00288,2023-05-03,True,Solicitud de documentos,Baja,1931,1311,A479,2,True,4,23,2
E00289,2024-01-24,True,Queja,Baja,1013,5,A315,3,False,3,99,4
E00290,2023-11-06,False,Consulta de matrícula,Media,1065,315,A183,1,True,2,21,2
E00291,2023-05-14,True,Consulta de matrícula,Alta,1830,1519,A126,3,True,5,52,2
E00292,2023-05-03,True,Solicitud de documentos,Media,1616,1307,A279,3,True,3,46,3
E00293,2024-06-15,True,Consulta de matrícula,Media,756,5,A115,3,True,1,94,4
E00294,2024-03-30,False,Queja,Baja,1565,375,A386,1,True,4,32,2
E00295,2024-11-11,False,Consulta de trámites,Media,1506,956,A491,2,True,5,35,2
E00296,2024-02-06,False,Solicitud de documentos,Baja,641,5,A011,2,True,5,58,3
E00297,2023-11-05,False,Información general,Media,1489,728,A372,3,False,5,20,2
E00298,2023-04-19,True,Solicitud de documentos,Media,1296,359,A065,2,True,3,25,2
E00299,2023-01-21,True,Información general,Baja,1402,303,A055,3,True,2,49,3
E00300,2023-11-12,False,Consulta de trámites,Baja,1516,892,A072,1,True,2,55,3
E00301,2023-03-22,True,Información general,Alta,1260,987,A143,1,False,1,94,4
E00302,2023-09-28,True,Solicitud de documentos,Baja,864,5,A001,1,True,3,28,2
E00303,2023-04-20,True,Consulta de matrícula,Media,1586,1329,A483,3,True,3,67,3
E00304,2024-07-05,False,Consulta de trámites,Alta,796,90,A419,2,True,3,45,3
E00305,2024-05-10,False,Información general,Baja,1241,1037,A416,1,True,4,36,2
E00306,2023-08-26,True,Consulta de matrícula,Media,889,5,A136,3,True,3,69,4
E00307,2023-01-03,False,Consulta de trámites,Baja,1498,1268,A169,2,True,3,81,4
E00308,2024-03-15,False,Información general,Media,1192,453,A116,2,True,5,61,3
E00309,2024-02-22,False,Consulta de trámites,Baja,1708,548,A062,2,True,5,55,2
E00310,2024-04-04,False,Información general,Alta,1305,1198,A436,3,False,5,48,2
E00311,2023-03-29,False,Información general,Media,1236,746,A376,3,True,3,49,3
E00312,2024-10-04,True,Solicitud de documentos,Alta,1275,880,A449,3,True,3,54,3
E00313,2023-04-18,False,Consulta de matrícula,Alta,1671,895,A165,1,False,5,9,1
E00314,2024-03-18,True,Consulta de trámites,Media,1405,592,A088,3,True,1,75,4
E00315,2024-09-27,True,Queja,Media,851,65,A087,1,True,1,60,4
E00316,2024-08-29,False,Queja,Baja,1224,975,A049,1,True,2,70,3
E00317,2024-07-21,True,Solicitud de documentos,Baja,2032,1379,A418,1,False,4,57,2
E00318,2024-06-02,True,Consulta de trámites,Alta,1905,1724,A412,3,True,4,52,3
E00319,2023-10-03,True,Solicitud de documentos,Baja,756,5,A286,1,False,2,66,3
E00320,2023-12-19,False,Queja,Alta,1295,321,A265,3,True,5,41,3
E00321,2023-10-25,False,Solicitud de documentos,Media,1361,980,A324,3,True,5,45,3
E00322,2024-03-05,True,Queja,Media,1159,790,A474,1,True,3,44,3
E00323,2024-01-04,False,Solicitud de documentos,Baja,1354,1248,A469,1,True,4,45,2
E00324,2024-07-30,False,Información general,Media,1547,999,A110,1,True,3,77,3
E00325,2024-03-15,False,Consulta de trámites,Baja,1618,1172,A306,3,False,3,58,3
E00326,2024-11-21,False,Solicitud de documentos,Alta,1079,536,A306,3,True,4,45,3
E00327,2024-03-03,True,Solicitud de documentos,Baja,1871,1280,A461,1,True,5,50,2
