id_estudiante,fecha_consulta,derivado,tipo_consulta,urgencia,tiempo_consulta,tiempo_espera,id_asesor,calidad_del_servicio,consulta_resuelta,satisfaccion_estudiante,indice_promotor_neto,puntaje_esfuerzo_cliente,mes_consulta
E00120,2024-03-17,True,Información general,Baja,601,601,A231,3,True,2,-75,5,marzo
E00121,2023-05-21,False,Queja,Media,1718,24,A044,2,True,3,89,4,mayo
E00122,2024-11-12,True,Solicitud de documentos,Media,2643,727,A474,3,True,4,91,3,noviembre
E00123,2024-11-25,False,Información general,Media,2844,976,A285,3,True,1,-84,3,noviembre
E00124,2024-05-24,True,Queja,Media,2488,474,A143,1,True,3,-40,1,mayo
E00125,2023-07-23,True,Información general,Baja,50,50,A202,1,False,4,8,1,julio
E00126,2024-02-26,False,Consulta de matrícula,Media,3021,454,A246,3,True,4,43,1,febrero
E00127,2024-10-24,False,Queja,Media,576,576,A064,3,True,1,98,5,octubre
E00128,2023-08-02,True,Consulta de trámites,Media,483,483,A384,1,True,1,56,2,agosto
E00129,2023-02-18,False,Información general,Media,1536,177,A222,3,True,2,-88,5,febrero
E00130,2023-11-15,False,Consulta de trámites,Alta,1207,1038,A168,3,True,5,-51,3,noviembre
E00131,2024-12-03,False,Queja,Baja,1044,677,A180,3,True,1,-6,5,diciembre
E00132,2024-03-31,True,Información general,Media,2082,514,A071,3,True,2,32,3,marzo
E00133,2024-10-30,True,Consulta de trámites,Baja,2039,13,A110,3,True,5,91,2,octubre
E00134,2023-11-23,True,Solicitud de documentos,Media,2750,269,A219,1,False,1,59,2,noviembre
E00135,2024-02-12,True,Solicitud de documentos,Alta,2998,81,A003,1,True,4,88,3,febrero
E00136,2024-09-06,True,Consulta de matrícula,Media,2710,310,A411,2,True,1,33,3,septiembre
E00137,2023-04-23,True,Queja,Media,977,884,A208,3,True,2,-57,1,abril
E00138,2023-10-16,True,Consulta de trámites,Media,2761,866,A482,2,True,5,100,2,octubre
E00139,2024-03-23,True,Consulta de matrícula,Alta,817,64,A343,2,True,4,-94,5,marzo
E00140,2023-04-23,True,Queja,Alta,775,205,A390,1,False,4,53,4,abril
E00141,2024-05-13,False,Solicitud de documentos,Media,341,341,A495,3,False,5,22,5,mayo
E00142,2024-09-20,True,Consulta de trámites,Alta,1375,470,A229,2,False,4,91,4,septiembre
E00143,2023-10-15,False,Información general,Media,2708,88,A426,2,False,4,-36,3,octubre
E00144,2024-03-28,False,Solicitud de documentos,Baja,549,158,A269,2,True,2,34,4,marzo
E00145,2024-03-08,False,Información general,Alta,2928,816,A262,1,True,2,-78,1,marzo
E00146,2024-09-05,True,Información general,Media,93,93,A107,3,True,3,37,5,septiembre
E00147,2023-11-29,True,Consulta de trámites,Baja,1722,1018,A102,3,True,4,-98,2,noviembre
E00148,2023-01-23,True,Consulta de trámites,Baja,3533,211,A487,1,False,1,14,4,enero
E00149,2023-04-19,True,Información general,Alta,2726,749,A221,3,True,3,-28,4,abril
E00150,2024-04-07,False,Consulta de matrícula,Alta,2661,974,A173,1,True,5,-28,3,abril
E00151,2024-10-07,True,Información general,Media,1422,733,A195,3,True,3,-54,1,octubre
E00152,2023-07-18,True,Información general,Media,44,44,A015,2,False,5,-50,4,julio
E00153,2024-02-24,True,Consulta de trámites,Media,3583,938,A400,3,True,5,36,3,febrero
E00154,2023-11-03,True,Queja,Media,1377,239,A282,2,True,2,100,4,noviembre
E00155,2024-07-26,True,Solicitud de documentos,Media,1372,492,A228,3,True,2,11,4,julio
E00156,2023-06-01,False,Consulta de trámites,Alta,2168,942,A243,2,True,2,-16,4,junio
E00157,2023-03-10,True,Consulta de matrícula,Alta,3011,1054,A218,3,True,2,-88,4,marzo
E00158,2023-12-09,False,Solicitud de documentos,Media,1356,164,A082,2,True,3,22,5,diciembre
E00159,2023-10-24,True,Consulta de trámites,Media,3370,453,A479,3,True,4,81,4,octubre
E00160,2024-01-16,False,Consulta de trámites,Media,1533,761,A042,1,True,2,-80,5,enero
E00161,2024-10-12,True,Queja,Media,3200,900,A339,3,True,4,3,1,octubre
E00162,2023-03-31,True,Consulta de matrícula,Alta,2065,276,A134,2,True,3,-12,4,marzo
E00163,2024-03-12,False,Consulta de matrícula,Baja,1421,1154,A450,1,True,3,61,4,marzo
E00164,2023-07-13,False,Consulta de trámites,Baja,1355,859,A359,1,True,3,-70,5,julio
E00165,2023-08-23,False,Queja,Media,2881,668,A233,2,False,3,52,3,agosto
E00166,2023-09-08,True,Consulta de trámites,Media,2087,353,A472,1,True,1,99,3,septiembre
E00167,2024-03-15,False,Información general,Media,1492,215,A459,2,True,5,1,2,marzo
E00168,2024-06-06,True,Información general,Alta,2356,1089,A218,1,False,1,-13,4,junio
E00169,2024-03-30,True,Queja,Baja,3169,1071,A221,3,False,1,62,2,marzo
E00170,2024-01-14,False,Consulta de trámites,Alta,162,162,A402,2,True,5,-23,2,enero
E00171,2023-08-03,False,Queja,Baja,545,497,A168,1,True,3,15,3,agosto
E00172,2024-12-07,True,Consulta de trámites,Media,443,443,A372,1,True,2,35,3,diciembre
E00173,2024-07-03,True,Consulta de trámites,Media,3206,702,A016,2,True,5,-30,5,julio
E00174,2024-02-25,False,Información general,Alta,254,217,A107,2,False,3,84,5,febrero
E00175,2023-03-14,False,Solicitud de documentos,Media,1293,537,A074,2,True,2,19,4,marzo
E00176,2023-01-12,False,Consulta de matrícula,Baja,938,473,A044,1,False,5,-57,5,enero
E00177,2024-01-02,True,Consulta de matrícula,Baja,1171,260,A483,1,True,4,-95,4,enero
E00178,2023-12-07,True,Queja,Media,445,106,A041,3,False,1,76,5,diciembre
E00179,2024-02-18,True,Consulta de matrícula,Media,446,446,A306,2,True,2,21,4,febrero
E00180,2023-07-22,True,Información general,Media,2903,730,A186,3,True,2,-32,1,julio
E00181,2024-09-04,True,Solicitud de documentos,Media,2715,255,A125,2,True,5,-74,2,septiembre
E00182,2024-06-04,True,Consulta de trámites,Alta,1764,243,A129,1,True,5,46,5,junio
E00183,2023-11-14,False,Consulta de trámites,Media,1669,166,A036,2,True,5,37,1,noviembre
E00184,2024-05-07,True,Información general,Baja,2189,1034,A204,3,True,2,52,1,mayo
E00185,2023-02-18,True,Consulta de matrícula,Baja,1067,1040,A044,3,True,4,50,1,febrero
E00186,2023-06-05,True,Consulta de trámites,Media,1670,208,A074,1,True,2,73,1,junio
E00187,2023-07-18,False,Consulta de matrícula,Media,2008,1086,A001,3,True,5,-48,3,julio
E00188,2024-07-28,True,Información general,Baja,1860,995,A497,3,True,2,-51,2,julio
E00189,2023-04-25,True,Consulta de trámites,Baja,3330,30,A154,1,False,4,-92,4,abril
E00190,2023-03-06,False,Queja,Media,1967,1177,A121,3,False,1,-84,4,marzo
E00191,2023-11-18,True,Solicitud de documentos,Baja,432,432,A190,1,False,2,-37,3,noviembre
E00192,2023-12-03,True,Consulta de matrícula,Baja,2053,760,A076,1,True,4,84,1,diciembre
E00193,2024-11-14,True,Consulta de matrícula,Media,2055,32,A158,3,True,5,-61,5,noviembre
E00194,2023-10-20,True,Consulta de matrícula,Baja,136,32,A083,1,True,5,-89,2,octubre
E00195,2024-10-09,True,Consulta de matrícula,Media,3340,225,A036,2,True,1,-57,2,octubre
E00196,2023-10-18,False,Información general,Baja,1056,238,A047,1,False,1,5,5,octubre
E00197,2023-12-08,False,Información general,Alta,3028,320,A221,3,True,4,-24,4,diciembre
E00198,2023-02-07,False,Información general,Media,676,315,A250,2,False,5,-20,1,febrero
E00199,2024-12-25,True,Información general,Alta,356,10,A323,2,True,3,-49,3,diciembre
E00200,2023-08-17,True,Consulta de trámites,Media,2834,182,A098,2,True,1,-8,1,agosto
E00201,2023-10-14,True,Información general,Baja,467,467,A053,2,True,5,-20,5,octubre
E00202,2024-11-05,False,Consulta de trámites,Media,1091,312,A094,1,True,3,-61,5,noviembre
E00203,2024-05-25,True,Queja,Alta,604,293,A025,1,False,5,60,3,mayo
E00204,2024-11-14,True,Información general,Baja,2067,157,A264,1,True,4,27,5,noviembre
E00205,2023-08-09,False,Queja,Alta,2909,1193,A352,3,True,5,-14,4,agosto
E00206,2023-01-31,True,Información general,Baja,1429,395,A289,3,True,2,72,4,enero
E00207,2024-05-22,False,Queja,Baja,35,35,A167,2,True,3,-60,4,mayo
E00208,2024-08-03,False,Solicitud de documentos,Media,669,638,A359,3,True,3,78,3,agosto
E00209,2023-03-05,False,Queja,Media,337,337,A489,1,True,5,-90,4,marzo
E00210,2024-07-22,True,Consulta de trámites,Alta,3223,143,A497,1,True,5,-17,4,julio
E00211,2024-01-08,True,Consulta de matrícula,Media,2249,188,A481,1,True,3,-20,4,enero
E00212,2023-10-02,True,Queja,Alta,1473,570,A322,1,True,5,-44,2,octubre
E00213,2023-08-09,True,Consulta de matrícula,Media,962,10,A089,1,True,3,-88,3,agosto
E00214,2024-12-28,True,Solicitud de documentos,Media,1373,76,A397,2,True,3,-67,3,diciembre
E00215,2024-04-19,True,Solicitud de documentos,Media,3348,467,A265,1,False,4,-41,4,abril
E00216,2024-03-19,True,Consulta de trámites,Baja,973,345,A453,1,True,3,-40,5,marzo
E00217,2024-01-23,False,Consulta de trámites,Media,1246,985,A352,1,True,5,40,3,enero
E00218,2023-08-11,True,Queja,Media,1950,872,A127,2,False,5,-20,3,agosto
E00219,2024-11-10,False,Información general,Baja,461,461,A351,1,False,5,61,5,noviembre
E00220,2024-02-24,True,Solicitud de documentos,Alta,194,194,A040,3,False,5,83,4,febrero
E00221,2024-10-15,True,Consulta de matrícula,Baja,3352,1137,A209,2,True,3,-10,2,octubre
E00222,2023-12-29,True,Información general,Media,1401,518,A005,2,False,3,32,1,diciembre
E00223,2024-01-31,False,Solicitud de documentos,Media,2126,902,A499,1,True,2,5,5,enero
E00224,2023-02-16,False,Queja,Baja,3412,385,A458,1,True,2,-25,1,febrero
E00225,2023-02-17,False,Solicitud de documentos,Baja,1092,1070,A494,1,True,1,52,5,febrero
E00226,2024-10-25,False,Consulta de trámites,Media,2241,377,A424,2,True,2,100,2,octubre
E00227,2024-12-13,True,Consulta de matrícula,Alta,1247,422,A130,2,True,5,79,2,diciembre
E00228,2024-03-17,False,Consulta de matrícula,Baja,1503,141,A050,3,True,1,-95,4,marzo
E00229,2024-01-02,True,Consulta de trámites,Baja,3169,653,A387,1,True,2,32,1,enero
E00230,2024-05-13,True,Información general,Media,2910,616,A093,1,True,5,-11,2,mayo
E00231,2023-07-12,False,Consulta de trámites,Alta,3086,1125,A395,1,True,1,20,3,julio
E00232,2024-03-24,False,Consulta de matrícula,Baja,1669,708,A495,2,False,2,-43,2,marzo
E00233,2023-10-08,False,Queja,Alta,303,128,A441,2,True,5,69,4,octubre
E00234,2024-10-07,False,Información general,Baja,2758,626,A108,2,True,4,-13,2,octubre
E00235,2024-11-16,False,Solicitud de documentos,Media,895,587,A375,2,False,4,-40,5,noviembre
E00236,2023-10-07,False,Queja,Media,3224,648,A395,2,False,3,61,5,octubre
E00237,2024-07-01,False,Información general,Media,769,769,A263,3,True,3,77,1,julio
E00238,2024-01-02,False,Consulta de matrícula,Media,2580,112,A425,2,True,1,-85,5,enero
E00239,2024-08-14,True,Consulta de matrícula,Baja,1220,754,A044,2,True,5,-82,1,agosto
E00240,2023-09-03,False,Queja,Media,1512,870,A033,3,True,3,46,1,septiembre
E00241,2023-10-02,False,Información general,Baja,2693,957,A055,2,True,2,-43,1,octubre
E00242,2023-09-24,True,Solicitud de documentos,Baja,1568,282,A109,3,True,1,29,3,septiembre
E00243,2024-10-13,False,Solicitud de documentos,Alta,718,193,A238,1,True,3,-90,1,octubre
E00244,2024-08-21,True,Consulta de trámites,Media,1081,609,A401,3,True,5,-34,5,agosto
E00245,2024-10-30,True,Queja,Media,2221,93,A272,1,True,2,-94,5,octubre
E00246,2024-05-16,False,Información general,Media,512,512,A093,3,True,2,83,2,mayo
E00247,2023-07-21,True,Queja,Media,1176,593,A440,1,True,2,11,2,julio
E00248,2023-05-15,True,Solicitud de documentos,Alta,2193,958,A386,3,True,5,15,5,mayo
E00249,2024-03-09,True,Información general,Media,2099,526,A158,1,True,4,-25,3,marzo
E00250,2024-03-25,True,Consulta de matrícula,Media,2413,1096,A311,2,True,2,15,4,marzo
E00251,2024-09-16,False,Consulta de matrícula,Baja,362,250,A382,3,True,4,47,1,septiembre
E00252,2024-11-26,True,Información general,Media,3150,590,A327,2,True,1,-70,2,noviembre
E00253,2023-12-07,False,Queja,Media,1562,824,A308,3,True,2,-38,5,diciembre
E00254,2024-06-19,True,Queja,Baja,2361,1060,A179,2,True,5,-39,1,junio
E00255,2024-02-28,True,Consulta de matrícula,Baja,3337,787,A371,1,True,5,54,2,febrero
E00256,2024-10-30,True,Consulta de matrícula,Media,1453,117,A426,1,True,2,24,1,octubre
E00257,2023-11-08,True,Solicitud de documentos,Alta,93,93,A107,1,True,3,46,1,noviembre
E00258,2024-10-11,False,Información general,Baja,1241,18,A372,2,True,3,-81,4,octubre
E00259,2024-07-14,False,Queja,Alta,3295,514,A345,3,False,4,-16,1,julio
E00260,2023-04-20,True,Solicitud de documentos,Baja,3127,112,A092,2,True,2,80,2,abril
E00261,2023-02-09,True,Queja,Media,1223,64,A327,3,False,4,-84,1,febrero
E00262,2023-06-23,False,Consulta de matrícula,Media,2041,318,A422,1,True,2,-27,1,junio
E00263,2023-09-06,True,Información general,Baja,1440,166,A128,3,False,4,-57,3,septiembre
E00264,2023-07-08,True,Consulta de trámites,Alta,1673,720,A157,1,False,1,69,4,julio
E00265,2024-07-23,True,Información general,Media,2354,771,A324,1,True,5,87,3,julio
E00266,2023-02-02,False,Consulta de trámites,Media,1853,240,A272,2,True,3,40,1,febrero
E00267,2024-03-12,False,Solicitud de documentos,Baja,3094,730,A066,2,True,3,9,1,marzo
E00268,2024-10-13,False,Consulta de trámites,Baja,226,226,A118,1,True,1,-12,5,octubre
E00269,2023-01-23,True,Consulta de trámites,Baja,53,53,A278,1,False,5,-99,2,enero
E00270,2024-12-25,True,Solicitud de documentos,Alta,3356,141,A299,3,True,3,55,2,diciembre
E00271,2023-02-04,False,Información general,Alta,606,435,A023,1,True,1,-78,2,febrero
E00272,2024-03-23,False,Solicitud de documentos,Baja,820,347,A121,3,True,3,50,5,marzo
E00273,2023-11-28,False,Consulta de matrícula,Media,621,373,A292,2,True,3,-35,1,noviembre
E00274,2023-09-25,False,Consulta de matrícula,Media,2085,354,A176,1,False,2,-82,1,septiembre
E00275,2023-12-12,True,Consulta de trámites,Media,586,586,A153,2,True,1,63,5,diciembre
E00276,2024-05-29,False,Solicitud de documentos,Baja,2550,68,A491,3,True,5,-95,2,mayo
E00277,2024-03-06,True,Solicitud de documentos,Alta,395,395,A107,3,True,5,60,4,marzo
E00278,2024-07-24,False,Solicitud de documentos,Alta,1704,439,A286,1,True,3,-12,5,julio
E00279,2024-07-06,True,Información general,Baja,1622,948,A098,1,True,2,-92,1,julio
E00280,2024-10-07,False,Queja,Alta,1065,469,A013,1,False,1,25,1,octubre
E00281,2024-06-07,False,Queja,Media,3173,142,A184,3,False,5,-14,2,junio
E00282,2023-11-12,False,Queja,Baja,2983,465,A285,2,True,4,73,4,noviembre
E00283,2024-10-15,False,Información general,Alta,92,92,A227,1,True,4,-62,5,octubre
E00284,2023-07-03,True,Solicitud de documentos,Alta,1216,436,A165,2,True,1,-9,1,julio
E00285,2023-10-13,False,Queja,Media,2627,859,A239,1,True,2,83,3,octubre
E00286,2023-08-30,True,Solicitud de documentos,Alta,3378,736,A198,2,True,4,89,3,agosto
E00287,2023-03-02,True,Consulta de trámites,Media,1616,378,A477,3,False,4,54,2,marzo
E00288,2023-11-20,True,Queja,Media,943,419,A405,1,True,3,-37,5,noviembre
E00289,2024-09-14,True,Consulta de trámites,Media,2479,15,A407,3,True,4,81,3,septiembre
E00290,2023-08-09,False,Información general,Media,695,63,A471,3,True,3,-60,1,agosto
E00291,2024-12-20,True,Consulta de matrícula,Baja,822,822,A262,2,True,2,1,3,diciembre
E00292,2023-06-29,True,Información general,Baja,1532,505,A315,2,True,1,41,3,junio
E00293,2023-07-20,True,Información general,Baja,3311,644,A292,3,True,4,62,3,julio
E00294,2024-07-14,False,Información general,Media,2541,468,A471,1,True,4,25,1,julio
E00295,2023-02-24,False,Queja,Media,2322,31,A242,2,True,4,-55,5,febrero
E00296,2024-12-05,False,Consulta de trámites,Baja,2506,1007,A407,3,True,1,-78,5,diciembre
E00297,2023-10-29,False,Queja,Media,3349,1091,A112,3,True,1,0,1,octubre
E00298,2023-05-04,True,Consulta de matrícula,Baja,983,633,A169,3,False,4,69,2,mayo
